// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\C# Tutorials\Programming Challenges\FrequencyAnalysis\FreqAnalysis\bin\Release\net6.0\eaeb566b-b14c-4692-be37-6aa9548b5a39
// command took 0.65s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in D:\C# Tutorials\Programming Challenges\FrequencyAnalysis\FreqAnalysis\bin\Release\net6.0\eaeb566b-b14c-4692-be37-6aa9548b5a39
// command took 1.42s and exited with 0
// ***** Done, took 00:00:02 (2.12 sec)   *****
// Found 3 benchmarks:
//   Program.testFirst: DefaultJob
//   Program.testSecond: DefaultJob
//   Program.testThird: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Program.testFirst: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet eaeb566b-b14c-4692-be37-6aa9548b5a39.dll --benchmarkName FreqAnalysis.Program.testFirst --job Default --benchmarkId 0 in D:\C# Tutorials\Programming Challenges\FrequencyAnalysis\FreqAnalysis\bin\Release\net6.0\eaeb566b-b14c-4692-be37-6aa9548b5a39\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 6.0.10 (6.0.1022.47605), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 131100.00 ns, 131.1000 us/op
WorkloadJitting  1: 1 op, 23515200.00 ns, 23.5152 ms/op

OverheadJitting  2: 16 op, 126100.00 ns, 7.8812 us/op
WorkloadJitting  2: 16 op, 350148100.00 ns, 21.8843 ms/op

WorkloadPilot    1: 16 op, 354567200.00 ns, 22.1605 ms/op
WorkloadPilot    2: 32 op, 665239500.00 ns, 20.7887 ms/op

OverheadWarmup   1: 32 op, 1200.00 ns, 37.5000 ns/op
OverheadWarmup   2: 32 op, 400.00 ns, 12.5000 ns/op
OverheadWarmup   3: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   4: 32 op, 400.00 ns, 12.5000 ns/op
OverheadWarmup   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   6: 32 op, 400.00 ns, 12.5000 ns/op

OverheadActual   1: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   2: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   3: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   6: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual   7: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual   8: 32 op, 300.00 ns, 9.3750 ns/op
OverheadActual   9: 32 op, 300.00 ns, 9.3750 ns/op
OverheadActual  10: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  11: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  12: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  13: 32 op, 300.00 ns, 9.3750 ns/op
OverheadActual  14: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  15: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  16: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  17: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  18: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  19: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  20: 32 op, 300.00 ns, 9.3750 ns/op

WorkloadWarmup   1: 32 op, 664756500.00 ns, 20.7736 ms/op
WorkloadWarmup   2: 32 op, 668323000.00 ns, 20.8851 ms/op
WorkloadWarmup   3: 32 op, 665194800.00 ns, 20.7873 ms/op
